,BHK,Area,Price,Location
0,3 BHK,1382 Sq.Ft,95.35 L,"Jalahalli,Bangalore"
1,2 BHK,902 Sq.Ft,48 L,"Kumbalgodu,Bangalore"
2,3 BHK,1370 Sq.Ft,72.61 L,"Anekal City,Bangalore"
3,3 BHK,1769 Sq.Ft,1 Cr,"Anjanapura,Bangalore"
4,3 BHK,1710 Sq.Ft,1.28 Cr,"Hennur,Bangalore"
5,3 BHK,1839 Sq.Ft,99.01 L,"Talaghattapura,Bangalore"
6,3 BHK,1475 Sq.Ft,76.14 L,"Singasandra,Bangalore"
7,3 BHK,2687 Sq.Ft,1.78 Cr,"Chandapura,Bangalore"
8,3 BHK,2034 Sq.Ft,1.09 Cr,"Gottigere,Bangalore"
9,3 BHK,1641 Sq.Ft,1.3 Cr,"RR Nagar,Bangalore"
10,None,1500 Sq.Ft,37.5 L,"Kanakapura Road Beyond Nice Ring Road,Bangalore"
11,3 BHK,1850 Sq.Ft,2.19 Cr,"Koramangala,Bangalore"
12,3 BHK,1931 Sq.Ft,2.43 Cr,"Yeshwantpur,Bangalore"
13,2 BHK,1421 Sq.Ft,60.39 L,"Sarjapur,Bangalore"
14,1 BHK,667 Sq.Ft,45.84 L,"Gunjur,Bangalore"
15,4 BHK,2314 Sq.Ft,1.68 Cr,"Krishnarajapura,Bangalore"
16,3 BHK,2349 Sq.Ft,2.81 Cr,"Dasarahalli on Tumkur Road,Bangalore"
17,2 BHK,1113 Sq.Ft,82.35 L,"Mahadevapura,Bangalore"
18,2 BHK,1185 Sq.Ft,65.94 L,"Krishnarajapura,Bangalore"
19,2 BHK,1210 Sq.Ft,40.84 L,"Sompura,Bangalore"
20,4 BHK,2275 Sq.Ft,1.53 Cr,"Bettadasanapura,Bangalore"
21,None,1350 Sq.Ft,31.71 L,"Devanahalli,Bangalore"
22,3 BHK,1425 Sq.Ft,89.27 L,"Sarjapur Road Post Railway Crossing,Bangalore"
23,None,1500 Sq.Ft,55.48 L,"Devanahalli,Bangalore"
24,3 BHK,1845 Sq.Ft,1 Cr,"Uttarahalli,Bangalore"
25,1 BHK,660 Sq.Ft,51.36 L,"Kannamangala,Bangalore"
26,3 BHK,1580 Sq.Ft,98.49 L,"Varthur,Bangalore"
27,1 BHK,575 Sq.Ft,26.45 L,"Varthur,Bangalore"
28,3 BHK,1770 Sq.Ft,1.32 Cr,"Uttarahalli,Bangalore"
29,2 BHK,1310 Sq.Ft,68.29 L,"Kalkere,Bangalore"
