location,area,bhk,price
Jalahalli,1382,3,9535000
Kumbalgodu,902,2,4800000
Anekal City,1370,3,7261000
Anjanapura,1769,3,10000000
Hennur,1710,3,12800000
Talaghattapura,1839,3,9901000
Singasandra,1475,3,7614000
Chandapura,2687,3,17800000
Gottigere,2034,3,10900000
RR Nagar,1641,3,13000000
Kanakapura Road Beyond Nice Ring Road,1500,3,3750000
Koramangala,1850,3,21900000
Yeshwantpur,1931,3,24300000
Sarjapur,1421,2,6039000
Gunjur,667,1,4584000
Krishnarajapura,2314,4,16800000
Dasarahalli on Tumkur Road,2349,3,28100000
Mahadevapura,1113,2,8235000
Krishnarajapura,1185,2,6594000
Sompura,1210,2,4084000
Bettadasanapura,2275,4,15300000
Devanahalli,1350,3,3171000
Sarjapur Road Post Railway Crossing,1425,3,8927000
Devanahalli,1500,3,5548000
Uttarahalli,1845,3,10000000
Kannamangala,660,1,5136000
Varthur,1580,3,9849000
Varthur,575,1,2645000
Uttarahalli,1770,3,13200000
Kalkere,1310,2,6829000
Kasavanahalli,1333,2,9692000
Kadugodi,1144,2,5605000
Jigani,1452,3,2902000
Electronic City Phase 1,1200,3,3600000
Krishnarajapura,1044,2,4174000
Budigere Cross,3639,4,21300000
Yelahanka,1000,3,6200000
Narayanapura on Hennur Main Road,1575,2,9056000
Whitefield Hope Farm Junction,1240,3,6687000
Electronic City Phase 1,1340,3,5628000
JP Nagar Phase 3,1477,3,6646000
Sarjapur,1000,3,3000000
ITPL,1570,3,11800000
Talaghattapura,525,1,3918000
Sarjapur,1017,2,3401000
Singasandra,1273,3,9799000
Karudabande Hosahalli,2000,3,2998000
Chandapura,1017,2,3567000
Kengeri,590,1,3150000
Varthur,2600,4,21500000
Krishnarajapura,1080,2,5130000
JP Nagar Phase 4,2146,3,19800000
Anekal City,800,2,3950000
Kalkere,1310,2,6829000
Hosa Road,1005,2,4924000
Jalahalli,1027,2,7260000
Kumbalgodu,540,1,3000000
Anekal City,1640,3,8692000
Anjanapura,1278,2,7310000
Hennur,1710,3,12800000
Talaghattapura,1839,3,9901000
Singasandra,1205,2,6284000
Chandapura,2224,3,15100000
Gottigere,1837,3,10100000
RR Nagar,1240,2,10000000
Kanakapura Road Beyond Nice Ring Road,2400,3,6000000
Koramangala,1225,2,14800000
Yeshwantpur,1973,3,25500000
Sarjapur,1421,2,6039000
