,BHK,Area,Price,Location
0,2 ,1026 ,94.39 L,"Koyambedu,Chennai"
1,2 ,1176 ,1.5 Cr,"Vadapalani,Chennai"
2,2 ,966 ,1.11 Cr,"Guindy,Chennai"
3,1 ,636 ,22.25 L,"Kelambakkam,Chennai"
4,2 ,1075 ,66.11 L,"Sholinganallur,Chennai"
5,3 ,1210 ,91.53 L,"Tiruvottiyur,Chennai"
6,3 ,1290 ,1.61 Cr,"K K Nagar,Chennai"
7,3 ,1274 ,73.89 L,"Pammal,Chennai"
8,3 ,1445 ,59.24 L,"Sithalapakkam,Chennai"
9,3 ,1570 ,78.65 L,"Perumbakkam,Chennai"
10,3 ,1337 ,1.33 Cr,"Anna Nagar,Chennai"
11,3 ,1502 ,1.02 Cr,"Manapakkam,Chennai"
12,3 ,1671 ,80.19 L,"Perumbakkam,Chennai"
13,2 ,1356 ,50.51 L,"Tiruporur Near Kelambakkam,Chennai"
14,2 ,1078 ,62.52 L,"Pammal,Chennai"
15,3 ,1310 ,58.93 L,"Perungalathur,Chennai"
16,3 ,1450 ,2.24 Cr,"Anna Nagar,Chennai"
17,3 ,1441 ,67.7 L,"Tiruvottiyur,Chennai"
18,2 ,754 ,35.13 L,"Avadi,Chennai"
19,3 ,1373 ,92.67 L,"Koyambedu,Chennai"
20,2 ,1054 ,59.02 L,"Porur,Chennai"
21,3 ,1612 ,99.63 L,"Rajakilpakkam,Chennai"
22,3 ,1412 ,97 L,"Mogappair,Chennai"
23,3 ,1075 ,1.29 Cr,"Thiruvanmiyur,Chennai"
24,2 ,1077 ,64.62 L,"Pallikaranai,Chennai"
25,3 ,1451 ,1.08 Cr,"Manapakkam,Chennai"
26,2 ,860 ,90.3 L,"Virugambakkam,Chennai"
27,3 ,1340 ,1.44 Cr,"Saidapet,Chennai"
28,2 ,1047 ,52.24 L,"Kattupakkam,Chennai"
29,1 ,673 ,43.87 L,"Madambakkam,Chennai"
30,2 ,1178 ,88.81 L,"Porur,Chennai"
31,3 ,1509 ,99.81 L,"Medavakkam,Chennai"
32,2 ,932 ,43.44 L,"Pammal,Chennai"
33,2 ,837 ,60.26 L,"Nanganallur,Chennai"
34,3 ,1551 ,1.73 Cr,"K K Nagar,Chennai"
35,2 ,1000 ,79.72 L,"East Tambaram,Chennai"
36,2 ,785 ,43.17 L,"Pammal,Chennai"
37,3 ,1139 ,68.34 L,"Pammal,Chennai"
38,2 ,975 ,89.7 L,"Koyambedu,Chennai"
39,2 ,1176 ,1.5 Cr,"Vadapalani,Chennai"
40,2 ,1125 ,1.29 Cr,"Guindy,Chennai"
41,1 ,638 ,22.32 L,"Kelambakkam,Chennai"
42,2 ,1120 ,68.88 L,"Sholinganallur,Chennai"
43,2 ,1006 ,76.1 L,"Tiruvottiyur,Chennai"
44,3 ,1290 ,1.61 Cr,"K K Nagar,Chennai"
45,3 ,1274 ,73.89 L,"Pammal,Chennai"
46,3 ,1455 ,59.65 L,"Sithalapakkam,Chennai"
47,3 ,1535 ,77.01 L,"Perumbakkam,Chennai"
48,3 ,2522 ,2.52 Cr,"Anna Nagar,Chennai"
49,3 ,1565 ,96 L,"Porur,Chennai"
50,3 ,1671 ,80.19 L,"Perumbakkam,Chennai"
51,2 ,1157 ,43.65 L,"Tiruporur Near Kelambakkam,Chennai"
52,2 ,1006 ,58.34 L,"Pammal,Chennai"
53,2 ,1196 ,53.8 L,"Perungalathur,Chennai"
54,3 ,1420 ,2.2 Cr,"Anna Nagar,Chennai"
55,3 ,1381 ,65.69 L,"Tiruvottiyur,Chennai"
56,2 ,759 ,35.36 L,"Avadi,Chennai"
57,3 ,1507 ,1.01 Cr,"Koyambedu,Chennai"
58,2 ,1103 ,61.76 L,"Porur,Chennai"
59,3 ,1550 ,95.8 L,"Rajakilpakkam,Chennai"
60,3 ,1222 ,82 L,"Mogappair,Chennai"
61,2 ,850 ,1.02 Cr,"Thiruvanmiyur,Chennai"
62,2 ,1175 ,70.5 L,"Pallikaranai,Chennai"
63,3 ,1187 ,88.96 L,"Manapakkam,Chennai"
64,2 ,930 ,97.65 L,"Virugambakkam,Chennai"
65,3 ,1175 ,1.26 Cr,"Saidapet,Chennai"
66,3 ,1243 ,62.02 L,"Kattupakkam,Chennai"
67,2 ,1115 ,68.96 L,"Madambakkam,Chennai"
68,2 ,1143 ,86.3 L,"Porur,Chennai"
69,2 ,1162 ,79.78 L,"Medavakkam,Chennai"
70,3 ,1042 ,48.39 L,"Pammal,Chennai"
71,3 ,1254 ,90.28 L,"Nanganallur,Chennai"
72,3 ,1551 ,1.73 Cr,"K K Nagar,Chennai"
73,2 ,972 ,75.04 L,"East Tambaram,Chennai"
74,2 ,785 ,43.17 L,"Pammal,Chennai"
75,2 ,703 ,42.18 L,"Pammal,Chennai"
76,2 ,981 ,90.25 L,"Koyambedu,Chennai"
77,2 ,1174 ,1.5 Cr,"Vadapalani,Chennai"
78,2 ,994 ,1.14 Cr,"Guindy,Chennai"
79,2 ,961 ,33.62 L,"Kelambakkam,Chennai"
80,2 ,1004 ,61.74 L,"Sholinganallur,Chennai"
81,2 ,608 ,45.99 L,"Tiruvottiyur,Chennai"
82,2 ,983 ,57.01 L,"Pammal,Chennai"
83,2 ,975 ,39.97 L,"Sithalapakkam,Chennai"
84,2 ,885 ,46.6 L,"Perumbakkam,Chennai"
85,2 ,1141 ,1.19 Cr,"Anna Nagar,Chennai"
86,3 ,1565 ,96 L,"Porur,Chennai"
87,3 ,1604 ,76.97 L,"Perumbakkam,Chennai"
88,3 ,1538 ,60.6 L,"Tiruporur Near Kelambakkam,Chennai"
89,2 ,746 ,43.26 L,"Pammal,Chennai"
90,2 ,926 ,41.66 L,"Perungalathur,Chennai"
91,3 ,1380 ,65.64 L,"Tiruvottiyur,Chennai"
92,2 ,609 ,28.37 L,"Avadi,Chennai"
93,3 ,1487 ,1 Cr,"Koyambedu,Chennai"
94,3 ,1456 ,89.99 L,"Rajakilpakkam,Chennai"
95,3 ,1228 ,82.4 L,"Mogappair,Chennai"
96,3 ,1397 ,83.82 L,"Pallikaranai,Chennai"
97,2 ,1048 ,78.54 L,"Manapakkam,Chennai"
98,3 ,1375 ,1.48 Cr,"Saidapet,Chennai"
99,2 ,1047 ,52.24 L,"Kattupakkam,Chennai"
100,2 ,1033 ,95.03 L,"Koyambedu,Chennai"
101,2 ,1032 ,94.94 L,"Koyambedu,Chennai"
102,3 ,2550 ,2.83 Cr,"Perungudi,Chennai"
103,3 ,2288 ,2.55 Cr,"Perungudi,Chennai"
104,2 ,1502 ,1.64 Cr,"Perungudi,Chennai"
105,3 ,2256 ,2.51 Cr,"Perungudi,Chennai"
106,3 ,2027 ,2.18 Cr,"Perungudi,Chennai"
107,3 ,2269 ,1.92 Cr,"Perungudi,Chennai"
108,2 ,1477 ,1.61 Cr,"Perungudi,Chennai"
109,3 ,1734 ,1.88 Cr,"Perungudi,Chennai"
110,2 ,1732 ,1.87 Cr,"Perungudi,Chennai"
111,2 ,1343 ,1.48 Cr,"Perungudi,Chennai"
112,4 ,3252 ,3.78 Cr,"Perungudi,Chennai"
113,3 ,2223 ,1.88 Cr,"Perungudi,Chennai"
114,3 ,2242 ,2.39 Cr,"Perungudi,Chennai"
115,3 ,1723 ,1.87 Cr,"Perungudi,Chennai"
116,2 ,1735 ,1.88 Cr,"Perungudi,Chennai"
117,3 ,1730 ,1.87 Cr,"Perungudi,Chennai"
118,3 ,1836 ,1.98 Cr,"Perungudi,Chennai"
119,2 ,1311 ,1.45 Cr,"Perungudi,Chennai"
120,2 ,1561 ,1.7 Cr,"Perungudi,Chennai"
121,2 ,1556 ,1.7 Cr,"Perungudi,Chennai"
122,3 ,2429 ,2.7 Cr,"Perungudi,Chennai"
123,2 ,1317 ,1.45 Cr,"Perungudi,Chennai"
124,2 ,1313 ,1.45 Cr,"Perungudi,Chennai"
125,2 ,1583 ,1.72 Cr,"Perungudi,Chennai"
126,2 ,1577 ,1.72 Cr,"Perungudi,Chennai"
127,2 ,1580 ,1.72 Cr,"Perungudi,Chennai"
128,3 ,2398 ,2.67 Cr,"Perungudi,Chennai"
129,4 ,3210 ,3.55 Cr,"Perungudi,Chennai"
130,3 ,1941 ,2.13 Cr,"Perungudi,Chennai"
131,3 ,2108 ,2.26 Cr,"Perungudi,Chennai"
132,3 ,2111 ,2.11 Cr,"Perungudi,Chennai"
133,3 ,1944 ,1.94 Cr,"Perungudi,Chennai"
134,2 ,1394 ,1.53 Cr,"Perungudi,Chennai"
135,2 ,1392 ,1.53 Cr,"Perungudi,Chennai"
136,3 ,2060 ,2.21 Cr,"Perungudi,Chennai"
137,3 ,2063 ,2.25 Cr,"Perungudi,Chennai"
138,2 ,1398 ,1.53 Cr,"Perungudi,Chennai"
139,3 ,2073 ,2.26 Cr,"Perungudi,Chennai"
140,2 ,1173 ,1.34 Cr,"Guindy,Chennai"
