bhk_name,bhk_url,bhk_price,bhk_area,bhk_location,bhk_location_url
1,https://www.makaan.com/mumbai/neelyog-virat-b-wing-in-malad-east-19838324/1bhk-469-sqft-apartment,1.01 Cr,469,Malad East,https://www.makaan.com/mumbai-property/malad-east-flats-for-sale-52178
1,https://www.makaan.com/mumbai/tharwani-realty-ariana-phase-iii-in-ambernath-west-19896368/1bhk-459-sqft-apartment,29.99 L,459,Ambernath West,https://www.makaan.com/mumbai-property/ambernath-west-flats-for-sale-50032
4,https://www.makaan.com/mumbai/yash-development-shreeji-daivi-in-borivali-west-20109623/4bhk-1751-sqft-apartment,4.38 Cr,1751,Borivali West,https://www.makaan.com/mumbai-property/borivali-west-flats-for-sale-50024
3,https://www.makaan.com/mumbai/kalpataru-group-vivant-south-wing-b-in-andheri-east-20143420/3bhk-3t-1076-sqft-apartment,3.19 Cr,1076,Andheri East,https://www.makaan.com/mumbai-property/andheri-east-flats-for-sale-50022
1,https://www.makaan.com/mumbai/marathe-enterprises-shubhanand-nx-and-greenland-nx-in-ambernath-east-20111822/1bhk-485-sqft-apartment,33.99 L,485,Ambernath East,https://www.makaan.com/mumbai-property/ambernath-east-flats-for-sale-51728
1,https://www.makaan.com/mumbai/proviso-builders-sai-proviso-sapphire-greater-kharghar-roadpali-in-kalamboli-20110379/1bhk-490-sqft-apartment,58 L,490,Kalamboli,https://www.makaan.com/mumbai-property/kalamboli-flats-for-sale-50002
2,https://www.makaan.com/mumbai/nexus-group-mumbai-park-in-diva-20169078/2bhk-1t-936-sqft-apartment,51.49 L,936,Diva,https://www.makaan.com/mumbai-property/diva-flats-for-sale-74795
2,https://www.makaan.com/mumbai/nrose-developers-northern-hills-in-dahisar-19799709/2bhk-637-sqft-apartment,1.47 Cr,637,Dahisar,https://www.makaan.com/mumbai-property/dahisar-flats-for-sale-50021
2,https://www.makaan.com/mumbai/sanghvi-realty-infenia-in-santacruz-east-19875019/2bhk-601-sqft-apartment,1.91 Cr,602,Santacruz East,https://www.makaan.com/mumbai-property/santacruz-east-flats-for-sale-50325
1,https://www.makaan.com/mumbai/vbhc-vbhc-greenwoods-in-palghar-20044993/1bhk-1t-483-sqft-apartment,20.98 L,483,Palghar,https://www.makaan.com/mumbai-property/palghar-flats-for-sale-51111
2,https://www.makaan.com/mumbai/raymond-raymond-realty-tenx-habitat-in-thane-west-19788950/2bhk-668-sqft-apartment,1.58 Cr,668,Thane West,https://www.makaan.com/mumbai-property/thane-west-flats-for-sale-50063
2,https://www.makaan.com/mumbai/bg-shirke-group-of-companies-parijat-hill-view-in-borivali-east-20139842/2bhk-501-sqft-apartment,1.12 Cr,501,Borivali East,https://www.makaan.com/mumbai-property/borivali-east-flats-for-sale-51736
2,https://www.makaan.com/mumbai/pyramid-infratech-co-elements-in-airoli-19589337/2bhk-638-sqft-apartment,1.26 Cr,638,Airoli,https://www.makaan.com/mumbai-property/airoli-flats-for-sale-50262
2,https://www.makaan.com/mumbai/tharwani-constructions-meghna-montana-in-ambernath-west-20035157/2bhk-1047-sqft-apartment,49.58 L,1047,Ambernath West,https://www.makaan.com/mumbai-property/ambernath-west-flats-for-sale-50032
1,https://www.makaan.com/mumbai/evershine-builders-amavi-303-phase-1-in-virar-20027268/1bhk-511-sqft-apartment,40.25 L,511,Virar,https://www.makaan.com/mumbai-property/virar-flats-for-sale-50019
1,https://www.makaan.com/mumbai/godrej-properties-ascend-in-thane-east-19987294/1bhk-381-sqft-apartment,74 L,381,Thane East,https://www.makaan.com/mumbai-property/thane-east-flats-for-sale-51623
2,https://www.makaan.com/mumbai/enso-group-enso-sanza-in-kandivali-east-20089788/2bhk-511-sqft-apartment,1.12 Cr,511,Kandivali East,https://www.makaan.com/mumbai-property/kandivali-east-flats-for-sale-50027
1,https://www.makaan.com/mumbai/royal-realtors-group-pristo-in-malad-east-20011599/1bhk-435-sqft-apartment,1.01 Cr,435,Malad East,https://www.makaan.com/mumbai-property/malad-east-flats-for-sale-52178
1,https://www.makaan.com/mumbai/jindal-builders-and-developers-avenue-in-panvel-20006002/1bhk-261-sqft-apartment,47.5 L,261,Panvel,https://www.makaan.com/mumbai-property/panvel-flats-for-sale-50006
2,https://www.makaan.com/mumbai/walekar-and-sons-developers-homes-in-ambernath-west-19575640/2bhk-594-sqft-apartment,34.5 L,594,Ambernath West,https://www.makaan.com/mumbai-property/ambernath-west-flats-for-sale-50032
1,https://www.makaan.com/mumbai/sri-dutt-constructions-garden-avenue-k-in-virar-20053821/1bhk-445-sqft-apartment,33 L,445,Virar,https://www.makaan.com/mumbai-property/virar-flats-for-sale-50019
2,https://www.makaan.com/mumbai/puraniks-builders-unicorn-phase-1-in-thane-west-20097370/2bhk-498-sqft-apartment,69.99 L,498,Thane West,https://www.makaan.com/mumbai-property/thane-west-flats-for-sale-50063
2,https://www.makaan.com/mumbai/shreeji-sharan-group-sky-rise-in-kandivali-west-20106699/2bhk-811-sqft-apartment,1.91 Cr,811,Kandivali West,https://www.makaan.com/mumbai-property/kandivali-west-flats-for-sale-52179
1,https://www.makaan.com/mumbai/anant-builders-residency-in-panvel-20065562/1bhk-409-sqft-apartment,32 L,409,Panvel,https://www.makaan.com/mumbai-property/panvel-flats-for-sale-50006
2,https://www.makaan.com/mumbai/neelkanth-properties-valley-ii-in-khopoli-19772265/2bhk-428-sqft-apartment,33.49 L,428,Khopoli,https://www.makaan.com/mumbai-property/khopoli-flats-for-sale-51199
3,https://www.makaan.com/mumbai/riddhi-siddhi-developers-imperial-in-taloja-20122302/3bhk-928-sqft-apartment,62.51 L,928,Taloja,https://www.makaan.com/mumbai-property/taloja-flats-for-sale-51110
1,https://www.makaan.com/mumbai/shakti-realty-sai-srushti-in-kalyan-west-20030547/1bhk-554-sqft-apartment,46.11 L,554,Kalyan West,https://www.makaan.com/mumbai-property/kalyan-west-flats-for-sale-50031
2,https://www.makaan.com/mumbai/om-netra-aashirwad-llp-new-aashirwad-chs-in-malad-west-19527426/2bhk-554-sqft-apartment,1.44 Cr,554,Malad West,https://www.makaan.com/mumbai-property/malad-west-flats-for-sale-50028
4,https://www.makaan.com/mumbai/ravechi-lifespaces-shreeji-divine-in-kharghar-19466141/4bhk-1874-sqft-apartment,2.7 Cr,1874,Kharghar,https://www.makaan.com/mumbai-property/kharghar-flats-for-sale-50003
1,https://www.makaan.com/mumbai/samarth-sai-builders-and-developers-seasons-sahara-in-kalyan-east-19466150/1bhk-313-sqft-apartment,39.5 L,313,Kalyan East,https://www.makaan.com/mumbai-property/kalyan-east-flats-for-sale-51732
2,https://www.makaan.com/mumbai/town-developer-mumbai-ashtha-heights-in-goregaon-west-19404893/2bhk-2t-990-sqft-apartment,2.35 Cr,990,Goregaon West,https://www.makaan.com/mumbai-property/goregaon-west-flats-for-sale-50025
2,https://www.makaan.com/mumbai/shakuntala-realty-shree-puram-township-in-umroli-19418213/2bhk-950-sqft-apartment,22.8 L,950,Umroli,https://www.makaan.com/mumbai-property/umroli-flats-for-sale-52732
1,https://www.makaan.com/mumbai/sudarshan-group-mumbai-sky-heights-in-thane-west-20039151/1bhk-453-sqft-apartment,65 L,453,Thane West,https://www.makaan.com/mumbai-property/thane-west-flats-for-sale-50063
2,https://www.makaan.com/mumbai/dimples-realtors-73-east-in-kandivali-west-20106026/2bhk-836-sqft-apartment,2 Cr,836,Kandivali West,https://www.makaan.com/mumbai-property/kandivali-west-flats-for-sale-52179
3,https://www.makaan.com/mumbai/neelkanth-infracon-auris-in-panvel-19405715/3bhk-859-sqft-apartment,1.37 Cr,859,Panvel,https://www.makaan.com/mumbai-property/panvel-flats-for-sale-50006
2,https://www.makaan.com/mumbai/shree-krupa-builders-nandanvan-homes-building-b-in-thane-west-19314031/2bhk-720-sqft-apartment,1.31 Cr,720,Thane West,https://www.makaan.com/mumbai-property/thane-west-flats-for-sale-50063
2,https://www.makaan.com/mumbai/k-patel-realty-krishna-niwas-in-goregaon-east-19419332/2bhk-669-sqft-apartment,1.8 Cr,669,Goregaon East,https://www.makaan.com/mumbai-property/goregaon-east-flats-for-sale-51725
1,https://www.makaan.com/mumbai/shree-gajanand-developers-mumbai-nd-garden-in-ulwe-19362496/1bhk-450-sqft-apartment,52.99 L,450,Ulwe,https://www.makaan.com/mumbai-property/ulwe-flats-for-sale-50412
1,https://www.makaan.com/mumbai/sadguru-developers-mumbai-nakshtra-in-titwala-19283508/1bhk-429-sqft-apartment,29 L,429,Titwala,https://www.makaan.com/mumbai-property/titwala-flats-for-sale-51206
3,https://www.makaan.com/mumbai/today-royal-belantara-in-rasayani-19258432/3bhk-806-sqft-apartment,52 L,806,Rasayani,https://www.makaan.com/mumbai-property/rasayani-flats-for-sale-52730
1,https://www.makaan.com/mumbai/thanekar-civic-in-badlapur-west-19246798/1bhk-249-sqft-apartment,22 L,249,Badlapur West,https://www.makaan.com/mumbai-property/badlapur-west-flats-for-sale-51730
1,https://www.makaan.com/mumbai/siddhivinayak-homes-anaya-in-dronagiri-19312218/1bhk-450-sqft-apartment,41.37 L,450,Dronagiri,https://www.makaan.com/mumbai-property/dronagiri-flats-for-sale-51132
3,https://www.makaan.com/mumbai/shree-krishna-groups-sangam-in-chembur-19237160/3bhk-984-sqft-apartment,3.05 Cr,984,Chembur,https://www.makaan.com/mumbai-property/chembur-flats-for-sale-50033
1,https://www.makaan.com/mumbai/hetali-groups-vishnu-bhavan-in-kandivali-east-19859155/1bhk-469-sqft-apartment,1.19 Cr,469,Kandivali East,https://www.makaan.com/mumbai-property/kandivali-east-flats-for-sale-50027
1,https://www.makaan.com/mumbai/tajjodin-group-taj-regency-in-kamothe-19298720/1bhk-404-sqft-apartment,58 L,404,Kamothe,https://www.makaan.com/mumbai-property/kamothe-flats-for-sale-50426
3,https://www.makaan.com/mumbai/mahaavir-buildcon-llp-pride-in-dombivali-19037020/3bhk-917-sqft-apartment,95 L,917,Dombivali,https://www.makaan.com/mumbai-property/dombivali-flats-for-sale-50030
2,https://www.makaan.com/mumbai/rai-residency-kairali-park-phase-ii-in-kalyan-east-19776613/2bhk-885-sqft-apartment,53.98 L,885,Kalyan East,https://www.makaan.com/mumbai-property/kalyan-east-flats-for-sale-51732
2,https://www.makaan.com/mumbai/unimont-imperia-in-khopoli-19682231/2bhk-2t-975-sqft-apartment,43 L,975,Khopoli,https://www.makaan.com/mumbai-property/khopoli-flats-for-sale-51199
1,https://www.makaan.com/mumbai/lalani-velentine-apartment-1-wing-d-in-malad-east-18867094/1bhk-387-sqft-apartment,88.23 L,387,Malad East,https://www.makaan.com/mumbai-property/malad-east-flats-for-sale-52178
1,https://www.makaan.com/mumbai/lashkaria-constructions-pearl-in-jogeshwari-west-18729816/1bhk-333-sqft-apartment,74.99 L,333,Jogeshwari West,https://www.makaan.com/mumbai-property/jogeshwari-west-flats-for-sale-50026
1,https://www.makaan.com/mumbai/k-patel-realty-krishna-in-goregaon-east-16832559/1bhk-485-sqft-apartment,1.4 Cr,485,Goregaon East,https://www.makaan.com/mumbai-property/goregaon-east-flats-for-sale-51725
1,https://www.makaan.com/mumbai/bombay-developers-castle-in-dronagiri-17037734/1bhk-428-sqft-apartment,35.5 L,428,Dronagiri,https://www.makaan.com/mumbai-property/dronagiri-flats-for-sale-51132
1,https://www.makaan.com/mumbai/royal-enterprises-heritage-in-vangani-18696413/1bhk-395-sqft-apartment,17.01 L,395,Vangani,https://www.makaan.com/mumbai-property/vangani-flats-for-sale-52497
1,https://www.makaan.com/mumbai/kiran-realty-mansarovar-residency-in-dombivali-18332024/1bhk-410-sqft-apartment,38 L,410,Dombivali,https://www.makaan.com/mumbai-property/dombivali-flats-for-sale-50030
2,https://www.makaan.com/mumbai/qualitas-group-la-luxuria-in-shahapur-16453818/2bhk-653-sqft-apartment,38.49 L,653,Shahapur,https://www.makaan.com/mumbai-property/shahapur-flats-for-sale-51484
