location,area,bhk,price
Malad East,469,1,10100000
Ambernath West,459,1,2999000
Borivali West,1751,4,43800000
Andheri East,1076,3,31900000
Ambernath East,485,1,3399000
Kalamboli,490,1,5800000
Diva,936,2,5149000
Dahisar,637,2,14700000
Santacruz East,602,2,19100000
Palghar,483,1,2098000
Thane West,668,2,15800000
Borivali East,501,2,11200000
Airoli,638,2,12600000
Ambernath West,1047,2,4958000
Virar,511,1,4025000
Thane East,381,1,7400000
Kandivali East,511,2,11200000
Malad East,435,1,10100000
Panvel,261,1,4750000
Ambernath West,594,2,3450000
Virar,445,1,3300000
Thane West,498,2,6999000
Kandivali West,811,2,19100000
Panvel,409,1,3200000
Khopoli,428,2,3349000
Taloja,928,3,6251000
Kalyan West,554,1,4611000
Malad West,554,2,14400000
Kharghar,1874,4,27000000
Kalyan East,313,1,3950000
Goregaon West,990,2,23500000
Umroli,950,2,2280000
Thane West,453,1,6500000
Kandivali West,836,2,20000000
Panvel,859,3,13700000
Thane West,720,2,13100000
Goregaon East,669,2,18000000
Ulwe,450,1,5299000
Titwala,429,1,2900000
Rasayani,806,3,5200000
Badlapur West,249,1,2200000
Dronagiri,450,1,4137000
Chembur,984,3,30500000
Kandivali East,469,1,11900000
Kamothe,404,1,5800000
Dombivali,917,3,9500000
Kalyan East,885,2,5398000
Khopoli,975,2,4300000
Malad East,387,1,8823000
Jogeshwari West,333,1,7499000
Goregaon East,485,1,14000000
Dronagiri,428,1,3550000
Vangani,395,1,1701000
Dombivali,410,1,3800000
Shahapur,653,2,3849000
Ambernath East,821,3,4426000
Rasayani,313,1,2756000
Thane West,409,1,3015000
Mulund West,560,2,13200000
Karjat,827,3,4284000
Ulwe,1625,3,14500000
Badlapur East,680,1,2750000
Malad East,636,2,13800000
Ambernath West,642,2,3899000
Borivali West,1751,4,43800000
Andheri East,718,2,21200000
Ambernath East,485,1,3399000
Kalamboli,490,1,5800000
Diva,445,1,2299000
Dahisar,624,2,14400000
Santacruz East,778,3,29000000
Thane West,515,2,12500000
Borivali East,501,2,11200000
Airoli,465,1,9000000
Ambernath West,1047,2,4958000
Virar,511,1,4025000
Thane East,522,2,10100000
Kandivali East,380,1,8400000
Malad East,646,2,14700000
Panvel,261,1,4749000
Ambernath West,528,2,3150000
Virar,586,2,4503000
Thane West,330,1,4998000
Kandivali West,811,2,19100000
Panvel,563,2,4200000
Khopoli,428,2,3349000
Taloja,375,1,2551000
Kalyan West,557,1,4614000
Malad West,553,2,14300000
