location,area,bhk,price
Koyambedu,1026,2,9439000
Perungudi,2550,3,28300000
Guindy,966,2,11100000
Tiruvottiyur,1210,3,9153000
Moolacheri,870,2,3349000
Kelambakkam,1175,3,4359000
Thirumudivakkam,1472,3,8500000
Porur,965,2,6754000
Pammal,968,2,5614000
Kattupakkam,1047,2,6369000
Pozhichalur,1259,3,6924000
West Tambaram,1239,3,5321000
Teynampet,1342,3,22800000
Thoraipakkam OMR,1286,3,8101000
Ayanambakkam,1305,3,7437000
Manapakkam,1502,3,10200000
Kelambakkam,636,1,2257000
Perungalathur,1310,3,5893000
Tiruvottiyur,1441,3,6770000
Rajakilpakkam,1612,3,9963000
Mogappair,1412,3,9700000
Pallikaranai,1077,2,6462000
Virugambakkam,860,2,9030000
Mogappair,1001,2,7007000
Pammal,1009,2,6861000
Alwarpet,1200,2,25500000
West Mambalam,2277,4,28300000
Ashok Nagar,1781,3,23100000
Madambakkam,673,1,4387000
Agaramthen,1305,3,5740000
Porur,1178,2,8881000
Gowrivakkam,1340,3,9136000
Pammal,932,2,4344000
K K Nagar,1551,3,17300000
Pammal,1139,3,6834000
Koyambedu,975,2,8970000
Perungudi,2288,3,25500000
Guindy,1125,2,12900000
Tiruvottiyur,1006,2,7610000
Moolacheri,1250,3,4812000
Kelambakkam,1172,3,4349000
Thirumudivakkam,1472,3,8500000
Porur,965,2,6754000
Pammal,968,2,5614000
Kattupakkam,1047,2,6369000
Pozhichalur,1259,3,6924000
West Tambaram,1239,3,5321000
Teynampet,1342,3,22800000
Thoraipakkam OMR,1020,2,6426000
Ayanambakkam,1305,3,7437000
Manapakkam,1502,3,10200000
Kelambakkam,636,1,2257000
Perungalathur,1196,2,5380000
Tiruvottiyur,1381,3,6569000
Rajakilpakkam,1550,3,9580000
Mogappair,1222,3,8200000
Pallikaranai,1175,2,7050000
Virugambakkam,930,2,9765000
Mogappair,1645,3,11500000
Pammal,914,2,6215000
Alwarpet,1200,2,25500000
West Mambalam,2277,4,28300000
Ashok Nagar,1818,3,23600000
Madambakkam,1115,2,6896000
Agaramthen,1305,3,5740000
Porur,1143,2,8630000
Gowrivakkam,945,2,6434000
Pammal,1042,3,4839000
K K Nagar,1551,3,17300000
Pammal,703,2,4218000
Koyambedu,981,2,9025000
Perungudi,1502,2,16400000
Guindy,994,2,11400000
Tiruvottiyur,608,2,4599000
Moolacheri,990,2,3811000
Kelambakkam,985,2,3751000
Thirumudivakkam,1174,2,6900000
Porur,1287,3,9007000
Pammal,836,2,4848000
Kattupakkam,836,2,5148000
Anakaputhur,887,2,5100000
West Tambaram,1176,2,5050000
Teynampet,1467,3,24900000
Thoraipakkam OMR,1295,3,8158000
Ayanambakkam,1242,3,7078000
Manapakkam,1173,2,8900000
Kelambakkam,603,1,2140000
Perungalathur,926,2,4166000
Tiruvottiyur,1380,3,6564000
Rajakilpakkam,1456,3,8999000
Mogappair,1228,3,8240000
Pallikaranai,1397,3,8382000
Mogappair,973,2,6811000
Pammal,1009,2,6861000
Alwarpet,1200,2,25500000
West Mambalam,1649,3,20500000
Ashok Nagar,1163,2,15100000
Madambakkam,992,2,6182000
Agaramthen,1305,3,5740000
Porur,1221,2,9191000
Koyambedu,1033,2,9503000
Koyambedu,1032,2,9494000
Perungudi,2256,3,25100000
Perungudi,2027,3,21800000
Perungudi,2269,3,19200000
Perungudi,1477,2,16100000
Perungudi,1734,3,18800000
Perungudi,1732,2,18700000
Perungudi,1343,2,14800000
Perungudi,3252,4,37800000
Perungudi,2223,3,18800000
Perungudi,2242,3,23900000
Perungudi,1723,3,18700000
Perungudi,1735,2,18800000
Perungudi,1730,3,18700000
