location,area,bhk,price
Karampura,3200,4,144600000
Vasant Kunj,1200,3,7000000
Karampura,1219,3,48500000
Vasant Kunj,800,2,5000000
Karampura,2400,3,99600000
Mehrauli,900,2,5000000
Sector 18 Rohini,732,2,8500000
Rangpuri,2500,5,25000000
Model Town,1229,4,16000000
Jamia Nagar,1800,4,14000000
Sector 1 Dwarka,900,3,6500000
Chattarpur,1337,3,7500000
Palam,802,2,3500000
Chattarpur,800,2,3500000
Delhi,4950,4,65000000
Badarpur,585,2,2200000
Vasant Kunj,1250,3,18500000
Rajpur,720,2,3800000
Pitampura,1300,2,14000000
Dwarka Mor,1000,3,4500000
Model Town,2700,4,27500000
Bijwasan,1535,3,6200000
Sector 10 Dwarka,925,2,3800000
Sector 17 Dwarka,1100,2,8800000
vikaspuri,1500,3,16800000
Kalkaji,650,2,4000000
Mahavir Enclave,450,1,2099000
Patparganj,1500,3,17000000
Mehrauli,535,1,1100000
Sector 13 Rohini,986,2,20000000
Mundka,675,2,2300000
Sector 13 Rohini,1200,3,18000000
Sector 2 Rohini,500,2,3300000
Chattarpur,1100,3,5000000
Uttam Nagar,1000,2,4500000
Sector 13 Rohini,930,2,12500000
Alaknanda,1100,2,15000000
Jamia Nagar,720,2,4799000
Subhash Nagar,1100,2,11000000
Pitampura,1500,3,31000000
Sector 10 Dwarka,700,2,3350000
Okhla,1350,3,16000000
Chirag Dilli,450,1,1800000
Sector 13 Rohini,650,2,3000000
Sector 14 Dwarka,442,1,5580000
Mahavir Enclave,1025,2,4799000
Jamia Nagar,500,1,1850000
Sector 8 Dwarka,1500,3,5000000
Lajpat Nagar III,1500,3,20500000
Sector 15 Rohini,1050,3,15000000
Jamia Nagar,650,2,2500000
Sector 23 Rohini,900,2,9000000
Hastsal,2000,5,6200000
Sukhdev Vihar,2100,3,30000000
vikaspuri,1150,2,8499000
Sector 4 Dwarka,1275,3,13000000
Paschim Vihar,900,2,14000000
New Ashok Nagar,1000,2,9800000
Karampura,3265,4,100000000
Nawada,540,2,2150000
Sector 13 Rohini,1650,3,18000000
Uttam Nagar,500,2,2900000
Tara Nagar,625,2,2300000
Dwarka Mor,803,3,3499000
